City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
322,Bengkulu,ID,76.23,overcast clouds,-3.8004,102.2655,Bengkulu
323,Tucuman,AR,64.4,broken clouds,-26.8241,-65.2226,San Miguel de Tucumán
325,Yichang,CN,61.7,light rain,30.7144,111.2847,Yichang
326,Ancud,CL,60.33,clear sky,-41.8697,-73.8203,Ancud
327,Delhi,IN,71.69,mist,28.6667,77.2167,Delhi
337,Buraydah,SA,77.45,clear sky,26.326,43.975,Buraydah
342,Santa Maria,BR,72.7,overcast clouds,-29.6842,-53.8069,Santa Maria
343,Ambon,ID,75.34,few clouds,-3.6954,128.1814,Teluk Ambon
347,Gamba,GA,78.51,overcast clouds,-2.65,10.0,Foundou
349,Rawson,AR,77.25,overcast clouds,-43.3002,-65.1023,Rawson
351,Port Macquarie,AU,62.56,light rain,-31.4333,152.9167,Port Macquarie
354,Sweetwater,US,75.02,scattered clouds,25.7634,-80.3731,Fontainebleau
355,Mahina,PF,78.57,broken clouds,-17.5065,-149.489,Māhina
361,Rio Grande,BR,66.31,overcast clouds,-32.035,-52.0986,Rio Grande
363,Mercedes,AR,71.85,broken clouds,-34.6515,-59.4307,Mercedes
365,Pathein,MM,75.81,broken clouds,16.7833,94.7333,Pathein
368,Byron Bay,AU,66.87,overcast clouds,-28.65,153.6167,Byron Bay
369,Maridi,SS,71.78,light rain,4.9158,29.4742,Maridi
370,Benguela,AO,79.5,overcast clouds,-12.5763,13.4055,Benguela
371,Cibitung,ID,68.4,overcast clouds,-7.119,107.1309,Sukanegara
374,Edea,CM,77.52,moderate rain,3.8,10.1333,Edea
375,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,Luanda
376,Bahia Blanca,AR,69.58,broken clouds,-38.7196,-62.2724,Bahía Blanca
378,Lata,PT,60.06,clear sky,40.1629,-8.3327,Coimbra
383,Airai,TL,63.05,scattered clouds,-8.9266,125.4092,Atsabe
386,Prieska,ZA,76.19,overcast clouds,-29.6641,22.7474,Prieska
388,Faya,SA,64.51,clear sky,18.3851,42.4509,Faya
391,Paka,MY,78.73,broken clouds,4.6374,103.4368,Kerteh
392,General Roca,AR,68.4,overcast clouds,-39.0333,-67.5833,General Roca
393,Makakilo City,US,75.56,few clouds,21.3469,-158.0858,Kapolei
394,Murray Bridge,AU,60.44,overcast clouds,-35.1167,139.2667,Murray Bridge
396,Flinders,AU,67.28,broken clouds,-34.5833,150.8552,Wollongong
399,Isiro,CD,69.15,light rain,2.7739,27.616,Isiro
401,Jaguaruna,BR,71.87,overcast clouds,-28.615,-49.0256,Jaguaruna
405,Hualmay,PE,69.66,broken clouds,-11.0964,-77.6139,Huacho
407,Hambantota,LK,79.63,moderate rain,6.1241,81.1185,Hambantota
411,Barabai,ID,76.59,overcast clouds,-2.5833,115.3833,SMP Negeri 1 Hulu Sungai Tengah
412,Alamogordo,US,74.57,clear sky,32.8995,-105.9603,Alamogordo
416,Pergamino,AR,75.25,broken clouds,-33.89,-60.5736,Pergamino
420,Kasongo-Lunda,CD,74.93,moderate rain,-6.4667,16.8167,Kasongo-Lunda
422,Sonoita,MX,79.54,clear sky,31.85,-112.8333,Sonoyta
423,Elizabeth City,US,61.0,overcast clouds,36.2946,-76.2511,Elizabeth City
424,Namatanai,PG,78.58,broken clouds,-3.6667,152.4333,Namatanai
433,Vanimo,PG,76.78,broken clouds,-2.6741,141.3028,Vanimo
434,Sines,PT,62.29,clear sky,37.9562,-8.8698,Sines
435,Teguise,ES,68.22,few clouds,29.0605,-13.564,Teguise
438,Plettenberg Bay,ZA,60.66,overcast clouds,-34.0527,23.3716,Plettenberg Bay
439,Lakes Entrance,AU,60.17,broken clouds,-37.8811,147.981,Lakes Entrance
441,Oyama,JP,64.81,overcast clouds,36.3,139.8,Oyama
442,Mbigou,GA,70.05,moderate rain,-1.9005,11.906,Mbigou
443,Salalah,OM,77.29,scattered clouds,17.0151,54.0924,Salalah
451,Nelson Bay,AU,66.09,broken clouds,-32.7167,152.15,Nelson Bay - Corlette
455,Enshi,CN,60.06,overcast clouds,30.3,109.4833,Enshi City
457,Pyay,MM,74.64,clear sky,18.8167,95.2167,Pyay
458,Rawah,IQ,70.0,clear sky,34.4816,41.9093,Rawa
459,Katoro,TZ,68.22,overcast clouds,-3.0203,31.8958,Buseresere
462,Houma,US,63.0,scattered clouds,29.5958,-90.7195,Houma
463,Port Shepstone,ZA,69.22,light rain,-30.7414,30.455,Port Shepstone
467,Reconquista,AR,68.58,overcast clouds,-29.15,-59.65,Reconquista
468,Guerrero Negro,MX,71.69,clear sky,27.9769,-114.0611,Guerrero Negro
470,Puli,TW,73.22,clear sky,23.9664,120.9695,Puli
471,Taltal,CL,66.67,clear sky,-25.4,-70.4833,Taltal
473,Manado,ID,75.97,moderate rain,1.487,124.8455,Manado
474,Mineros,BO,71.19,moderate rain,-17.1167,-63.2333,Minero
477,Las Choapas,MX,77.05,overcast clouds,17.9333,-94.0833,Las Choapas
478,Yeppoon,AU,71.38,broken clouds,-23.1333,150.7333,Yeppoon
481,Seminole,US,69.01,overcast clouds,28.7086,-81.2081,Winter Springs
482,Coquimbo,CL,61.84,clear sky,-29.9533,-71.3436,Coquimbo
486,Muros,ES,60.84,clear sky,42.7762,-9.0603,Muros
488,Zastron,ZA,67.84,overcast clouds,-30.3023,27.084,Zastron
490,Mogadishu,SO,79.54,scattered clouds,2.0371,45.3438,Mogadishu
495,Eyl,SO,78.71,broken clouds,7.9803,49.8164,Eyl
498,Asfi,MA,65.64,clear sky,32.2994,-9.2372,Safi
499,Gerash,IR,71.74,broken clouds,27.6652,54.1371,Gerash
502,Socorro,US,70.88,few clouds,31.6546,-106.3033,Ciudad Juárez
503,Sayla,IN,76.24,overcast clouds,22.55,71.4667,Sayla
504,Hita,JP,61.14,broken clouds,33.3167,130.9333,Hita
508,Allapalli,IN,65.75,few clouds,19.4167,80.0667,Nagepalli S
510,Qiongshan,CN,75.18,clear sky,20.0058,110.3542,Haikou
514,Kindu,CD,71.83,light rain,-2.95,25.95,Kindu
516,Tirodi,IN,64.51,scattered clouds,21.6833,79.7,MOIL Township
523,San Carlos De Bariloche,AR,67.75,clear sky,-41.1456,-71.3082,San Carlos de Bariloche
526,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Saint Pierre
527,Andros Town,BS,75.16,overcast clouds,24.7,-77.7667,Andros Town
529,Santa Marinella,IT,64.44,light rain,42.0345,11.8536,Civitavecchia
532,Sumbe,AO,76.23,light rain,-11.2061,13.8437,Sumbe
536,Enterprise,US,74.48,few clouds,36.0252,-115.2419,Las Vegas
538,Jardim,BR,70.27,overcast clouds,-21.4803,-56.1381,Jardim
540,Marzuq,YE,73.67,overcast clouds,14.4,46.4667,Al Hujayrah
541,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Kampung Parang
542,Deception Bay,AU,70.16,light rain,-27.2,153.0333,Brisbane
545,Kamuli,UG,67.05,broken clouds,0.9472,33.1197,Kamuli
550,Hervey Bay,AU,72.03,broken clouds,-25.2986,152.8535,Hervey Bay
551,Nanakuli,US,76.98,few clouds,21.3906,-158.1547,Nānākuli
553,Riyadh,SA,78.94,clear sky,24.6877,46.7219,Riyadh
556,Valdivia,CL,62.69,clear sky,-39.8142,-73.2459,Valdivia
560,Ntchisi,MW,74.37,clear sky,-13.5278,33.9149,Chaminga Anglican Church
561,Ayutla,MX,75.2,scattered clouds,20.1167,-104.3333,Centro
568,Illapel,CL,77.83,clear sky,-31.6308,-71.1653,Illapel
571,Bartica,GY,77.32,moderate rain,6.4,-58.6167,Bartica
572,Fochville,ZA,74.79,broken clouds,-26.4886,27.4939,Fochville
574,Sambava,MG,76.24,broken clouds,-14.2667,50.1667,Sambava
577,Jimenez,MX,73.2,few clouds,28.3333,-105.4,Arenillas
584,Jiazi,CN,75.63,light rain,22.8779,116.067,Jieyang
587,Pacific Grove,US,60.51,clear sky,36.6177,-121.9166,Monterey
589,Caloundra,AU,69.64,overcast clouds,-26.8,153.1333,Sunshine Coast
592,Kendari,ID,76.01,overcast clouds,-3.945,122.4989,Kendari
594,Majene,ID,78.22,overcast clouds,-3.5403,118.9707,Majene
596,Chiang Rai,TH,75.18,few clouds,19.9167,99.9167,Mueang Chiang Rai
599,Ha Tinh,VN,75.06,few clouds,18.3333,105.9,Hà Tĩnh
600,Monte Escobedo,MX,64.27,clear sky,22.3,-103.5833,Monte Escobedo
601,Najran,SA,74.05,clear sky,17.4924,44.1277,Najran
603,San Quintin,MX,68.09,clear sky,30.4833,-115.95,Lázaro Cárdenas
608,Honiara,SB,76.64,few clouds,-9.4333,159.95,Honiara
618,Boyolangu,ID,77.56,overcast clouds,-8.1181,111.8935,Tulungagung
619,Quelimane,MZ,75.63,few clouds,-17.8786,36.8883,Quelimane
621,Bac Lieu,VN,79.52,overcast clouds,9.285,105.7244,Bạc Liêu
624,Buchanan,LR,76.96,light rain,5.8808,-10.0467,Buchanan
627,Beeville,US,67.55,clear sky,28.4008,-97.7483,Beeville
628,Liancheng,CN,62.22,few clouds,24.0519,105.075,Wenshan Zhuang and Miao Autonomous Prefecture
630,Cajamarca,PE,60.87,light rain,-7.1638,-78.5003,Cajamarca
634,Marsabit,KE,77.65,scattered clouds,2.3284,37.9899,Marsabit
635,Bacolod,PH,79.07,light rain,10.6667,122.95,Bacolod
654,Tocopilla,CL,69.26,few clouds,-22.092,-70.1979,Tocopilla
656,Manokwari,ID,78.67,light rain,-0.8667,134.0833,Manokwari
657,Kalakamati,BW,79.59,overcast clouds,-20.5929,27.3121,Kalakamati
666,Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,Los Llanos
673,Chake Chake,TZ,77.54,scattered clouds,-5.2459,39.7666,Chake Chake
675,Bosaso,SO,78.78,few clouds,11.2842,49.1816,Bosaso
678,Grand Gaube,MU,76.37,scattered clouds,-20.0064,57.6608,Goodlands
679,Akyab,MM,75.2,clear sky,20.15,92.9,Sittwe
