City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Tiksi,RU,71.6872,128.8694,-4.72,93,72,12.57,broken clouds,2021-11-06 16:38:22
60,Qaanaaq,GL,77.484,-69.3632,8.22,72,99,7.92,overcast clouds,2021-11-06 16:38:22
61,Laukaa,RU,58.7372,29.8453,39.61,86,92,7.87,overcast clouds,2021-11-06 16:38:23
62,Krasnokamensk,RU,50.0979,118.0369,15.13,48,0,6.76,clear sky,2021-11-06 16:38:23
63,Kapaa,US,22.0752,-159.319,75.52,80,90,12.66,light rain,2021-11-06 16:38:23
64,Morgan City,US,29.6994,-91.2068,64.0,82,20,5.75,few clouds,2021-11-06 16:38:24
65,Mahasamund,IN,21.1,82.1,71.87,57,6,3.6,clear sky,2021-11-06 16:38:24
66,Pearl City,US,21.3972,-157.9733,76.82,74,40,15.01,scattered clouds,2021-11-06 16:37:00
67,New Norfolk,AU,-42.7826,147.0587,56.7,59,84,1.99,broken clouds,2021-11-06 16:38:24
68,Padang,ID,-0.9492,100.3543,75.25,91,100,4.92,overcast clouds,2021-11-06 16:38:25
69,Norman Wells,CA,65.282,-126.8329,21.24,93,75,3.44,broken clouds,2021-11-06 16:38:25
70,Hithadhoo,MV,-0.6,73.0833,82.4,75,100,13.24,overcast clouds,2021-11-06 16:38:25
71,Comodoro Rivadavia,AR,-45.8667,-67.5,84.06,11,0,16.11,clear sky,2021-11-06 16:38:26
72,Araouane,ML,18.9048,-3.5265,91.89,14,70,8.05,broken clouds,2021-11-06 16:38:26
73,Nalut,LY,30.3333,10.85,77.45,19,90,10.96,overcast clouds,2021-11-06 16:38:26
74,Totness,SR,5.8833,-56.3167,78.67,90,97,8.32,overcast clouds,2021-11-06 16:38:27
75,Ponta Do Sol,PT,32.6667,-17.1,71.13,47,15,6.78,few clouds,2021-11-06 16:38:27
76,Jacareacanga,BR,-6.2222,-57.7528,87.64,55,94,5.19,overcast clouds,2021-11-06 16:38:28
77,Port Alfred,ZA,-33.5906,26.891,63.36,81,100,4.94,overcast clouds,2021-11-06 16:38:28
78,Usoke,TZ,-5.1667,32.35,79.34,21,94,6.82,overcast clouds,2021-11-06 16:38:28
79,Porto Novo,BJ,6.4965,2.6036,84.02,74,99,7.56,overcast clouds,2021-11-06 16:38:29
80,Torbay,CA,47.6666,-52.7314,41.29,81,75,17.27,light rain,2021-11-06 16:38:29
81,Bredasdorp,ZA,-34.5322,20.0403,61.92,51,94,9.22,overcast clouds,2021-11-06 16:38:29
82,Vaini,TO,-21.2,-175.2,75.36,88,20,5.75,few clouds,2021-11-06 16:38:29
83,Komsomolskiy,UZ,40.4272,71.7189,38.12,60,75,4.61,haze,2021-11-06 16:38:30
84,Souillac,MU,-20.5167,57.5167,76.35,83,40,11.5,scattered clouds,2021-11-06 16:38:30
85,Naze,JP,28.3667,129.4833,66.96,88,99,35.01,overcast clouds,2021-11-06 16:38:31
86,Snasa,NO,64.2457,12.3778,33.78,92,37,3.65,scattered clouds,2021-11-06 16:38:31
87,Cayenne,GF,4.9333,-52.3333,86.04,80,20,7.0,few clouds,2021-11-06 16:38:32
88,Bandundu,CD,-3.3167,17.3667,76.3,88,96,3.0,light rain,2021-11-06 16:38:32
89,Codrington,AU,-38.2667,141.9667,51.93,73,100,9.57,overcast clouds,2021-11-06 16:38:32
90,Dergachi,RU,51.2328,48.7659,42.98,34,100,19.64,overcast clouds,2021-11-06 16:38:33
91,Dukat,RU,62.55,155.55,13.87,92,99,7.27,overcast clouds,2021-11-06 16:38:33
92,Puerto Ayora,EC,-0.7393,-90.3518,76.96,70,70,10.94,broken clouds,2021-11-06 16:38:33
93,Ornskoldsvik,SE,63.2909,18.7153,37.22,87,3,10.36,clear sky,2021-11-06 16:38:34
94,Beringovskiy,RU,63.05,179.3167,13.03,86,100,8.52,overcast clouds,2021-11-06 16:38:34
95,Galesburg,US,40.9478,-90.3712,57.02,62,1,1.01,clear sky,2021-11-06 16:38:34
96,Concepcion Del Uruguay,AR,-32.4825,-58.2372,72.99,51,34,4.0,scattered clouds,2021-11-06 16:38:35
97,Luderitz,NA,-26.6481,15.1594,65.52,61,100,25.41,overcast clouds,2021-11-06 16:38:35
98,Sarahan,IN,31.5167,77.8,44.11,46,0,6.98,clear sky,2021-11-06 16:38:35
99,Coihaique,CL,-45.5752,-72.0662,66.81,30,0,10.36,clear sky,2021-11-06 16:38:36
100,Kidal,ML,18.4411,1.4078,93.06,11,5,4.12,clear sky,2021-11-06 16:38:36
101,Tutoia,BR,-2.7619,-42.2744,91.38,64,58,11.07,broken clouds,2021-11-06 16:38:36
102,Jega,NG,12.2175,4.3792,90.93,16,57,7.18,broken clouds,2021-11-06 16:38:37
103,Ilulissat,GL,69.2167,-51.1,19.42,49,75,17.27,broken clouds,2021-11-06 16:38:37
104,Lompoc,US,34.6391,-120.4579,59.92,90,90,4.61,fog,2021-11-06 16:38:37
105,Saskylakh,RU,71.9167,114.0833,7.54,90,100,15.3,overcast clouds,2021-11-06 16:38:38
106,Lagoa,PT,39.05,-27.9833,68.23,83,100,27.87,overcast clouds,2021-11-06 16:38:38
107,Katsuura,JP,35.1333,140.3,60.12,74,100,10.83,light rain,2021-11-06 16:38:39
108,Chegem Vtoroy,RU,43.5958,43.5994,48.02,93,90,1.99,overcast clouds,2021-11-06 16:38:39
109,Olafsvik,IS,64.8945,-23.7142,35.38,89,100,22.17,light rain,2021-11-06 16:38:39
110,Mbandaka,CD,0.0487,18.2603,73.96,92,90,3.78,moderate rain,2021-11-06 16:38:40
111,Avarua,CK,-21.2078,-159.775,71.65,73,75,4.61,broken clouds,2021-11-06 16:38:40
112,Pisco,PE,-13.7,-76.2167,70.02,82,0,10.36,clear sky,2021-11-06 16:38:40
113,Pringsewu,ID,-5.3582,104.9744,74.53,95,99,3.4,overcast clouds,2021-11-06 16:38:41
114,Saint George,US,37.1041,-113.5841,70.54,54,1,4.61,clear sky,2021-11-06 16:38:41
115,Atlantic City,US,39.3643,-74.4229,57.24,54,75,12.66,broken clouds,2021-11-06 16:37:58
116,Fare,PF,-16.7,-151.0167,78.98,72,27,5.64,light rain,2021-11-06 16:38:42
117,Tsubata,JP,36.6667,136.7333,46.33,82,80,5.77,broken clouds,2021-11-06 16:38:42
118,Anadyr,RU,64.75,177.4833,10.9,79,90,11.18,light shower snow,2021-11-06 16:38:42
119,Atuona,PF,-9.8,-139.0333,77.99,75,39,16.87,scattered clouds,2021-11-06 16:38:43
120,Launceston,AU,-41.45,147.1667,58.64,97,90,1.01,overcast clouds,2021-11-06 16:38:43
121,Chokurdakh,RU,70.6333,147.9167,4.87,95,100,8.34,overcast clouds,2021-11-06 16:38:43
122,Neftegorsk,RU,52.802,51.166,40.55,39,100,23.82,overcast clouds,2021-11-06 16:38:44
123,Kieta,PG,-6.2167,155.6333,79.34,80,82,4.38,broken clouds,2021-11-06 16:38:44
124,Sao Filipe,CV,14.8961,-24.4956,80.94,69,33,10.0,scattered clouds,2021-11-06 16:38:44
125,Sept-Iles,CA,50.2001,-66.3821,45.12,68,75,10.0,broken clouds,2021-11-06 16:38:44
126,Abnub,EG,27.2696,31.1511,82.62,35,0,7.36,clear sky,2021-11-06 16:38:45
127,Santa Ines,BR,-3.6667,-45.38,91.26,45,72,6.06,broken clouds,2021-11-06 16:38:45
128,Longyearbyen,SJ,78.2186,15.6401,21.04,63,75,11.5,broken clouds,2021-11-06 16:38:46
129,Biak,ID,-0.9131,122.8766,76.71,84,76,0.65,broken clouds,2021-11-06 16:38:46
130,Saint-Philippe,RE,-21.3585,55.7679,76.59,79,47,8.68,scattered clouds,2021-11-06 16:38:47
131,Cabo San Lucas,MX,22.8909,-109.9124,83.52,53,58,1.66,broken clouds,2021-11-06 16:38:47
132,Laguna,US,38.421,-121.4238,59.65,92,1,1.01,clear sky,2021-11-06 16:38:47
133,Wanning,CN,18.8003,110.3967,75.34,85,15,2.8,few clouds,2021-11-06 16:38:48
134,Saurimo,AO,-9.6608,20.3916,76.15,51,100,2.57,overcast clouds,2021-11-06 16:38:48
135,Victoria,HK,22.2855,114.1577,79.32,84,17,1.01,light rain,2021-11-06 16:37:15
136,Kalmunai,LK,7.4167,81.8167,79.34,82,98,3.47,overcast clouds,2021-11-06 16:38:49
137,Waipawa,NZ,-41.4122,175.5153,55.02,98,100,2.75,overcast clouds,2021-11-06 16:38:49
138,Seguin,US,29.5688,-97.9647,64.8,64,1,1.01,clear sky,2021-11-06 16:36:13
139,Verkh-Usugli,RU,52.7,115.1667,10.72,84,22,3.47,few clouds,2021-11-06 16:38:50
140,Berdigestyakh,RU,62.0989,126.6992,8.94,95,99,6.62,overcast clouds,2021-11-06 16:38:50
141,Nyurba,RU,63.2842,118.3319,10.89,97,100,4.09,overcast clouds,2021-11-06 16:38:50
142,Berlin,DE,52.5244,13.4105,51.1,79,75,11.01,broken clouds,2021-11-06 16:38:15
